Name	Platform	Year_of_Release	Genre	Publisher	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Bust-A-Move 99	N64	1998	Puzzle	Acclaim Entertainment	0.05	0.01	0	0	0.06
Shanghai: True Valor	PS	1998	Puzzle	Activision	0.01	0.01	0	0	0.02
Need for Speed III: Hot Pursuit	PS	1998	Racing	Electronic Arts	2.14	0.86	0	0.13	3.12
Colin McRae Rally	PS	1998	Racing	Codemasters	0.09	2.43	0.12	0.22	2.87
R4: Ridge Racer Type 4	PS	1998	Racing	Namco Bandai Games	0.68	0.46	0.79	0.13	2.06
Sled Storm	PS	1998	Racing	Electronic Arts	0.9	0.61	0	0.11	1.62
F-1 World Grand Prix	N64	1998	Racing	Video System	0.46	0.96	0.09	0.08	1.6
NASCAR 99	PS	1998	Racing	Electronic Arts	1.45	0.04	0	0.04	1.52
TOCA 2: Touring Cars	PS	1998	Racing	Codemasters	0.03	1.16	0.02	0.11	1.32
Road Rash 3D	PS	1998	Racing	Electronic Arts	1.05	0.16	0	0.04	1.25
Vigilante 8	PS	1998	Racing	Activision	0.68	0.47	0	0.08	1.23
F-Zero X	N64	1998	Racing	Nintendo	0.45	0.33	0.29	0.03	1.1
Jeremy McGrath Supercross 98	PS	1998	Racing	Acclaim Entertainment	0.91	0.1	0	0.03	1.04
NASCAR 99	N64	1998	Racing	Electronic Arts	0.94	0.04	0	0.01	0.98
Cruisn World	N64	1998	Racing	Nintendo	0.59	0.04	0	0.01	0.64
Championship Motocross featuring Ricky Carmichael	PS	1998	Racing	THQ	0.32	0.22	0	0.04	0.58
WipEout 64	N64	1998	Racing	Midway Games	0.28	0.14	0	0.01	0.43
JGTC: All-Japan Grand Touring Car Championship	PS	1998	Racing	TYO	0.23	0.16	0	0.03	0.42
Rush 2: Extreme Racing USA	N64	1998	Racing	Midway Games	0.35	0.06	0	0	0.42
Extreme-G: XG2	N64	1998	Racing	Acclaim Entertainment	0.31	0.07	0	0	0.39
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi	PS	1998	Racing	Human Entertainment	0	0	0.36	0.03	0.38
Rogue Trip: Vacation 2012	PS	1998	Racing	GT Interactive	0.21	0.14	0	0.02	0.38
South Park Rally	PS	1998	Racing	Acclaim Entertainment	0.2	0.13	0	0.02	0.36
Rally Cross 2	PS	1998	Racing	989 Studios	0.19	0.13	0	0.02	0.35
Off Road Challenge	N64	1998	Racing	GT Interactive	0.27	0.06	0	0	0.34
Vigilante 8	N64	1998	Racing	Activision	0.25	0.06	0	0	0.31
Demolition Racer	PS	1998	Racing	Infogrames	0.17	0.12	0	0.02	0.31
Viz	N64	1998	Racing	Acclaim Entertainment	0.23	0.06	0	0	0.29
Top Gear Overdrive	N64	1998	Racing	Kemco	0.23	0.06	0	0	0.29
Choro Q3	PS	1998	Racing	Takara	0	0	0.24	0.02	0.26
Speed Punks	PS	1998	Racing	Sony Computer Entertainment	0.11	0.08	0	0.01	0.2
Re-Volt	PS	1998	Racing	Acclaim Entertainment	0.11	0.07	0	0.01	0.19
N2O: Nitrous Oxide	PS	1998	Racing	Gremlin Interactive Ltd	0.09	0.06	0	0.01	0.16
Winning Post 3	PS	1998	Racing	Tecmo Koei	0	0	0.14	0.01	0.15
Streak: Hoverboard Racing	PS	1998	Racing	GT Interactive	0.09	0.06	0	0.01	0.15
Castrol Honda Superbike Racing	PS	1998	Racing	THQ	0.07	0.05	0	0.01	0.13
Crime Killer	PS	1998	Racing	Interplay	0.07	0.04	0	0.01	0.12
GT64 Championship Edition	N64	1998	Racing	Ocean	0.08	0.02	0	0	0.1
Option Tuning Car Battle	PS	1998	Racing	MTO	0	0	0.09	0.01	0.1
V-Rally Edition 99	N64	1998	Racing	Infogrames	0.07	0.02	0	0	0.09
Wreckin Crew	PS	1998	Racing	Telstar	0.05	0.03	0	0.01	0.08
S.C.A.R.S	PS	1998	Racing	Ubisoft	0.05	0.03	0	0.01	0.08
Iggys Reckin Balls	N64	1998	Racing	Acclaim Entertainment	0.06	0.02	0	0	0.08
Circuit Breakers	PS	1998	Racing	Mindscape	0.04	0.03	0	0	0.07
PenPen TriIceLon	DC	1998	Racing	Infogrames	0	0	0.06	0	0.06
Penny Racers	N64	1998	Racing	THQ	0.05	0.01	0	0	0.06
S.C.A.R.S	N64	1998	Racing	Ubisoft	0.05	0.01	0	0	0.06
Choro Q Marine: Q Boat	PS	1998	Racing	Takara	0	0	0.05	0	0.06
Bakusou Kyoudai Lets & Go!! Eternal Wings	PS	1998	Racing	Jaleco	0	0	0.05	0	0.05
MotorHead	PS	1998	Racing	Gremlin Interactive Ltd	0.02	0.01	0	0	0.03
Bomberman Fantasy Race	PS	1998	Racing	Virgin Interactive	0.01	0.01	0	0	0.02
Pok\xc3\xa9mon Yellow: Special Pikachu Edition	G	1998	Role-Playing	Nintendo	5.89	5.04	3.12	0.59	14.64
Dragon Warrior Monsters	G	1998	Role-Playing	Eidos Interactive	0	0	2.34	0.01	2.35
Parasite Eve	PS	1998	Role-Playing	SquareSoft	0.94	0.07	1.05	0.04	2.1
Xenogears	PS	1998	Role-Playing	SquareSoft	0.29	0.19	0.89	0.1	1.46
Brave Fencer Musashi	PS	1998	Role-Playing	SquareSoft	0.25	0.17	0.65	0.07	1.14
Star Ocean: The Second Story	PS	1998	Role-Playing	Sony Computer Entertainment	0.26	0.1	0.72	0.02	1.1
Chocobos Dungeon 2	PS	1998	Role-Playing	SquareSoft	0.04	0.03	0.58	0.05	0.7
Suikoden II	PS	1998	Role-Playing	Konami Digital Entertainment	0.15	0.1	0.38	0.04	0.68
Legend of Legaia	PS	1998	Role-Playing	Sony Computer Entertainment	0.37	0.25	0	0.04	0.66
Tales of Phantasia	PS	1998	Role-Playing	Namco Bandai Games	0	0	0.54	0.04	0.58
Lunar: Silver Star Story Complete	PS	1998	Role-Playing	Kadokawa Shoten	0.27	0.18	0.06	0.04	0.55
Quest 64	N64	1998	Role-Playing	Konami Digital Entertainment	0.38	0.08	0	0.01	0.47
Yu-Gi-Oh! Monster Capsule Breed & Battle	PS	1998	Role-Playing	Konami Digital Entertainment	0	0	0.26	0.02	0.28
Jade Cocoon: Story of the Tamamayu	PS	1998	Role-Playing	Crave Entertainment	0.15	0.1	0	0.02	0.27
Final Fantasy V	PS	1998	Role-Playing	SquareSoft	0	0	0.16	0.01	0.17
Soukaigi	PS	1998	Role-Playing	SquareSoft	0	0	0.13	0.01	0.14
Guardians Crusade	PS	1998	Role-Playing	Activision	0.07	0.05	0	0.01	0.12
Lunar 2: Eternal Blue	SAT	1998	Role-Playing	Kadokawa Shoten	0	0	0.12	0	0.12
Thousand Arms	PS	1998	Role-Playing	Atlus	0.06	0.04	0	0.01	0.12
Shadow Tower	PS	1998	Role-Playing	From Software	0.01	0.01	0.07	0.01	0.1
Slayers Royal	PS	1998	Role-Playing	Kadokawa Shoten	0	0	0.08	0.01	0.08
Slayers Royal 2	SAT	1998	Role-Playing	Kadokawa Shoten	0	0	0.08	0	0.08
Wizardry: Llylgamyn Saga	PS	1998	Role-Playing	Locus	0	0	0.07	0	0.07
Rhapsody: A Musical Adventure	PS	1998	Role-Playing	Nippon Ichi Software	0.02	0.01	0	0	0.04
Planescape: Torment	PC	1998	Role-Playing	Interplay	0.01	0.02	0	0	0.03
Madou Monogatari	SAT	1998	Role-Playing	Compile	0	0	0.03	0	0.03
Medal of Honor	PS	1998	Shooter	Electronic Arts	1.44	1.09	0	0.14	2.67
Duke Nukem: Time to Kill	PS	1998	Shooter	Take-Two Interactive	0.77	0.54	0	0.07	1.38
Asteroids	PS	1998	Shooter	Success	0.64	0.43	0	0.07	1.15
South Park	N64	1998	Shooter	Acclaim Entertainment	0.9	0.23	0	0.02	1.14
South Park	PS	1998	Shooter	Acclaim Entertainment	0.39	0.27	0	0.05	0.71
Centipede	PS	1998	Shooter	Atari	0.36	0.25	0	0.04	0.65
Quake II	PS	1998	Shooter	Activision	0.23	0.16	0	0.03	0.41
The House of the Dead 2	DC	1998	Shooter	Sega	0	0	0.26	0	0.26
Forsaken	PS	1998	Shooter	Acclaim Entertainment	0.13	0.09	0	0.02	0.24
Body Harvest	N64	1998	Shooter	Gremlin Interactive Ltd	0.16	0.04	0	0	0.2
Quake	N64	1998	Shooter	GT Interactive	0.15	0.04	0	0	0.19
Strikers 1945	PS	1998	Shooter	Midas Interactive Entertainment	0.07	0.05	0	0.01	0.12
Robotron 64	N64	1998	Shooter	GT Interactive	0.07	0.02	0	0	0.09
Invasion From Beyond	PS	1998	Shooter	GT Interactive	0.05	0.03	0	0.01	0.09
Knife Edge: NoseGunner	N64	1998	Shooter	Mitsui	0.06	0.02	0	0	0.08
Real Robots Final Attack	PS	1998	Shooter	Banpresto	0	0	0.07	0.01	0.08
C: The Contra Adventure	PS	1998	Shooter	Konami Digital Entertainment	0.04	0.02	0	0	0.07
R-Types	PS	1998	Shooter	Virgin Interactive	0.04	0.02	0	0	0.06
Star Soldier: Vanishing Earth	N64	1998	Shooter	Hudson Entertainment	0.05	0.01	0	0	0.06
Thunder Force V: Perfect System	PS	1998	Shooter	TechnoSoft	0.03	0.02	0	0	0.05
Point Blank 2	PS	1998	Shooter	Namco Bandai Games	0.02	0.02	0	0	0.04
Radiant Silvergun	SAT	1998	Shooter	ESP	0	0	0.03	0	0.03
R-Type Delta	PS	1998	Shooter	Irem Software Engineering	0.01	0.01	0	0	0.03
Star Wars: Rogue Squadron	N64	1998	Simulation	Nintendo	1.6	0.46	0.08	0.03	2.17
BeatMania	PS	1998	Simulation	Konami Digital Entertainment	0	0	1.07	0.02	1.09
Monster Rancher 2	PS	1998	Simulation	Sony Computer Entertainment	0.19	0.13	0.66	0.07	1.05
BeatMania Append 3rdMix	PS	1998	Simulation	Konami Digital Entertainment	0	0	0.56	0.04	0.6
Colony Wars: Vengeance	PS	1998	Simulation	Psygnosis	0.13	0.09	0	0.02	0.23
R/C Stunt Copter	PS	1998	Simulation	Interplay	0.04	0.03	0	0.01	0.08
GunGriffon II	SAT	1998	Simulation	ESP	0	0	0.06	0	0.06
Cool Boarders 3	PS	1998	Sports	989 Studios	1.65	0.46	0.1	0.1	2.31
1080\xc2\xb0: TenEighty Snowboarding	N64	1998	Sports	Nintendo	1.25	0.61	0.13	0.05	2.03
FIFA 2000	PS	1998	Sports	Electronic Arts	0.22	1.47	0.04	0.14	1.87
Madden NFL 2000	PS	1998	Sports	Electronic Arts	1.68	0.04	0	0.04	1.75
Madden NFL 99	PS	1998	Sports	Electronic Arts	1.66	0.04	0	0.04	1.74
NFL GameDay 99	PS	1998	Sports	989 Studios	1.44	0.05	0	0.04	1.53
NBA Live 2000	PS	1998	Sports	Electronic Arts	1.43	0.05	0	0.03	1.52
NFL Blitz	PS	1998	Sports	Midway Games	1.41	0.05	0	0.04	1.5
Triple Play 99	PS	1998	Sports	Electronic Arts	0.81	0.55	0	0.1	1.46
Brian Lara Cricket	PS	1998	Sports	Codemasters	0.02	1.13	0.01	0.1	1.26
Kobe Bryant in NBA Courtside	N64	1998	Sports	Nintendo	1.02	0.13	0.04	0.01	1.19
Cool Boarders 4	PS	1998	Sports	989 Studios	0.65	0.44	0	0.08	1.17
NFL Blitz 2000	PS	1998	Sports	Midway Games	0.6	0.41	0	0.07	1.09
Ready 2 Rumble Boxing	PS	1998	Sports	Midway Games	0.6	0.41	0	0.07	1.08
NCAA Football 99	PS	1998	Sports	Electronic Arts	0.59	0.4	0	0.07	1.06
NFL Blitz	N64	1998	Sports	Midway Games	1.02	0.04	0	0.01	1.06
Madden NFL 99	N64	1998	Sports	Electronic Arts	0.84	0.05	0	0.01	0.9
NHL 2000	PS	1998	Sports	Electronic Arts	0.48	0.33	0	0.06	0.87
MLB 99	PS	1998	Sports	Sony Computer Entertainment	0.48	0.32	0	0.06	0.86
World Soccer Jikkyou Winning Eleven 3: World Cup France 98	PS	1998	Sports	Konami Digital Entertainment	0	0	0.75	0.05	0.81
Major League Baseball Featuring Ken Griffey Jr	N64	1998	Sports	Nintendo	0.75	0.03	0	0.01	0.79
NBA ShootOut 98	PS	1998	Sports	Sony Computer Entertainment	0.43	0.29	0	0.05	0.78
ISS Pro Evolution	PS	1998	Sports	Konami Digital Entertainment	0	0	0.71	0.05	0.76
NFL Xtreme	PS	1998	Sports	Sony Computer Entertainment	0.38	0.26	0	0.05	0.69
Street Sk8er	PS	1998	Sports	Electronic Arts	0.37	0.25	0	0.04	0.67
Tiger Woods PGA Tour 2000	PS	1998	Sports	Electronic Arts	0.37	0.25	0	0.04	0.66
Animaniacs Ten Pin Alley	PS	1998	Sports	ASC Games	0.36	0.25	0	0.04	0.66
NFL Quarterback Club 99	N64	1998	Sports	Acclaim Entertainment	0.59	0.02	0	0	0.62
CyberTiger	PS	1998	Sports	Electronic Arts	0.33	0.22	0	0.04	0.59
Jikkyou Powerful Pro Yakyuu 98 Kaimakuban	PS	1998	Sports	Konami Digital Entertainment	0	0	0.55	0.04	0.59
International Superstar Soccer 98	N64	1998	Sports	Konami Digital Entertainment	0.06	0.3	0.19	0.03	0.58
World Cup 98	N64	1998	Sports	Electronic Arts	0.14	0.4	0	0.04	0.58
FIFA 99	N64	1998	Sports	Electronic Arts	0.11	0.39	0	0.03	0.54
All-Star Baseball 99	N64	1998	Sports	Acclaim Entertainment	0.44	0.04	0	0	0.48
NBA Live 99	N64	1998	Sports	Electronic Arts	0.45	0.02	0	0	0.47
NCAA Gamebreaker 99	PS	1998	Sports	989 Studios	0.25	0.17	0	0.03	0.45
World Stadium 2	PS	1998	Sports	Namco Bandai Games	0	0	0.42	0.03	0.45
International Superstar Soccer Pro 98	PS	1998	Sports	Konami Digital Entertainment	0.02	0.02	0.35	0.03	0.42
98 Koshien	PS	1998	Sports	Magical Company	0.15	0.1	0.12	0.03	0.41
NHL 99	N64	1998	Sports	Electronic Arts	0.38	0.01	0	0	0.39
Thrasher Presents: Skate and Destroy	PS	1998	Sports	Take-Two Interactive	0.22	0.15	0	0.03	0.39
NHL Breakaway 98	N64	1998	Sports	Acclaim Entertainment	0.3	0.02	0	0	0.32
NHL FaceOff 2000	PS	1998	Sports	Sony Computer Entertainment	0.17	0.12	0	0.02	0.31
Jikkyou Powerful Pro Yakyuu 5	N64	1998	Sports	Konami Digital Entertainment	0	0	0.27	0	0.27
NBA Jam 99	N64	1998	Sports	Acclaim Entertainment	0.25	0.02	0	0	0.27
Jikkyou Powerful Pro Yakyuu 98 Ketteiban	PS	1998	Sports	Konami Digital Entertainment	0	0	0.25	0.02	0.27
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!	PS	1998	Sports	Axela	0	0	0.24	0.02	0.25
Fox Sports College Hoops 99	N64	1998	Sports	Fox Interactive	0.2	0.05	0	0	0.25
Pro Yakyuu Team o Tsukurou!	SAT	1998	Sports	Sega	0	0	0.25	0	0.25
NHL Championship 2000	PS	1998	Sports	Fox Interactive	0.12	0.08	0	0.01	0.22
Twisted Edge Extreme Snowboarding	N64	1998	Sports	Kemco	0.16	0.04	0	0	0.2
Brunswick Circuit Pro Bowling	PS	1998	Sports	THQ	0.1	0.07	0	0.01	0.18
Kawa no Nushi Tsuri	PS	1998	Sports	Victor Interactive	0	0	0.15	0.01	0.16
No Fear Downhill Mountain Biking	PS	1998	Sports	Codemasters	0.07	0.05	0	0.01	0.13
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG	SAT	1998	Sports	Sega	0	0	0.12	0	0.12
Milos Astro Lanes	N64	1998	Sports	Interplay	0.08	0.02	0	0	0.1
Virtual Pool 64	N64	1998	Sports	Crave Entertainment	0.08	0.02	0	0	0.1
World Cup 98 France: Road to Win	SAT	1998	Sports	Sega	0	0	0.09	0	0.09
Pro Yakyuu Greatest Nine 98	SAT	1998	Sports	Sega	0	0	0.09	0	0.09
Derby Stallion 98	SNES	1998	Sports	ASCII Entertainment	0	0	0.08	0	0.08
NHL Breakaway 99	N64	1998	Sports	Acclaim Entertainment	0.07	0.01	0	0	0.08
Alexi Lalas International Soccer	PS	1998	Sports	Take-Two Interactive	0.04	0.03	0	0	0.07
Power Pro G	G	1998	Sports	Konami Digital Entertainment	0	0	0.07	0	0.07
Olympic Hockey 98	N64	1998	Sports	GT Interactive	0.05	0.01	0	0	0.06
Mike Piazzas Strike Zone	N64	1998	Sports	GT Interactive	0.05	0.01	0	0	0.06
Bottom of the 9th 99	PS	1998	Sports	Konami Digital Entertainment	0.03	0.02	0	0	0.05
Breeding Stud 2	PS	1998	Sports	Konami Digital Entertainment	0	0	0.04	0	0.04
Dead Ball Zone	PS	1998	Sports	GT Interactive	0.02	0.02	0	0	0.04
NBA In The Zone 99	N64	1998	Sports	Konami Digital Entertainment	0.04	0	0	0	0.04
Big Mountain 2000	N64	1998	Sports	Imagineer	0.02	0.01	0	0	0.03
Adidas Power Soccer 98	PS	1998	Sports	Psygnosis	0.01	0.01	0	0	0.02
Pok\xc3\xa9mon Trading Card Game	G	1998	Strategy	Nintendo	1.49	0.73	1.38	0.1	3.7
Sim Theme Park	PC	1998	Strategy	Electronic Arts	2.04	0.04	0	0	2.08
Yu-Gi-Oh! Duel Monsters	G	1998	Strategy	Konami Digital Entertainment	0	0	1.61	0.01	1.61
Pocket Monsters Stadium	N64	1998	Strategy	Nintendo	0	0	1.37	0	1.37
SD Gundam G Generation	PS	1998	Strategy	Namco Bandai Games	0	0	0.67	0.05	0.72
Command & Conquer: Red Alert Retaliation	PS	1998	Strategy	Virgin Interactive	0.39	0.27	0	0.05	0.7
Super Robot Taisen F Kanketsuhen	SAT	1998	Strategy	Banpresto	0	0	0.55	0	0.55
Kagero: Deception II	PS	1998	Strategy	Virgin Interactive	0.03	0.02	0.22	0.02	0.29
Civilization II	PS	1998	Strategy	Activision	0.15	0.11	0	0.02	0.28
Kidou Senshi Gundam: Giren no Yabou	SAT	1998	Strategy	Namco Bandai Games	0	0	0.25	0	0.25
Kartia: The Word of Fate	PS	1998	Strategy	Konami Digital Entertainment	0.05	0.03	0.12	0.01	0.22
Chessmaster II	PS	1998	Strategy	Mindscape	0.08	0.06	0	0.01	0.15
Project V6	PS	1998	Strategy	General Entertainment	0	0	0.13	0.01	0.14
Houshinengi	PS	1998	Strategy	Tecmo Koei	0	0	0.13	0.01	0.14
The Unholy War	PS	1998	Strategy	Eidos Interactive	0.07	0.05	0	0.01	0.13
Neo Atlas	PS	1998	Strategy	ArtDink	0	0	0.09	0.01	0.09
Langrisser V: The End of Legend	SAT	1998	Strategy	NCS	0	0	0.09	0	0.09
Populous: The Beginning	PS	1998	Strategy	Electronic Arts	0.05	0.04	0	0.01	0.09
Brigandine: The Legend of Forsena	PS	1998	Strategy	Atlus	0.05	0.03	0	0.01	0.09
Theme Hospital	PS	1998	Strategy	Electronic Arts	0.03	0.02	0.03	0.01	0.09
Black/Matrix	SAT	1998	Strategy	NEC Interchannel	0	0	0.08	0	0.08
Dragon Force II: Kamisarishi Daichi ni	SAT	1998	Strategy	Sega	0	0	0.08	0	0.08
Vanguard Bandits	PS	1998	Strategy	Human Entertainment	0.04	0.03	0	0	0.07
Ojyousama Express	PS	1998	Strategy	Media Works	0	0	0.06	0	0.06
Shining Force III: Scenario 2	SAT	1998	Strategy	Sega	0	0	0.05	0	0.05
StarCraft	PC	1998	Strategy	Activision	0	0.04	0	0.01	0.05
Romance of the Three Kingdoms VI: Awakening of the Dragon	PS	1998	Strategy	Tecmo Koei	0.03	0.02	0	0	0.05
Angelique Duet	PS	1998	Strategy	Tecmo Koei	0	0	0.04	0	0.04
Warhammer: Dark Omen	PS	1998	Strategy	Electronic Arts	0.02	0.01	0	0	0.04
Caesar III	PC	1998	Strategy	Vivendi Games	0	0.03	0	0	0.03
Trap Gunner: Countdown to Oblivion	PS	1998	Strategy	Konami Digital Entertainment	0.02	0.01	0	0	0.03
Ojyousama Express	SAT	1998	Strategy	Media Works	0	0	0.03	0	0.03
Nectaris: Military Madness	PS	1998	Strategy	Hudson Soft	0.02	0.01	0	0	0.03
Pharaoh	PC	1998	Strategy	Vivendi Games	0	0.02	0	0	0.02
Homeworld	PC	1998	Strategy	Vivendi Games	0	0.02	0	0	0.02
Driver	PS	1999	Action	GT Interactive	3.11	2.8	0.02	0.33	6.27
Resident Evil 3: Nemesis	PS	1999	Action	Eidos Interactive	1.3	0.77	1.54	0.11	3.72
Silent Hill	PS	1999	Action	Konami Digital Entertainment	0.71	0.48	0.3	0.1	1.6
Mario Golf	N64	1999	Action	Nintendo	0.62	0.18	0.65	0.02	1.47
Frogger 2: Swampys Revenge	PS	1999	Action	Hasbro Interactive	0.8	0.54	0	0.09	1.43
Army Men 3D	PS	1999	Action	3DO	1.1	0.14	0	0.04	1.28
Star Wars Episode 1: Jedi Power Battles	PS	1999	Action	LucasArts	0.66	0.48	0.01	0.06	1.21
Legacy of Kain: Soul Reaver	PS	1999	Action	Eidos Interactive	0.58	0.4	0	0.07	1.04
3Xtreme	PS	1999	Action	989 Studios	0.5	0.34	0	0.06	0.9
Army Men: Air Attack	PS	1999	Action	3DO	0.47	0.32	0	0.06	0.85
Army Men: Sarges Heroes	N64	1999	Action	3DO	0.68	0.12	0	0.01	0.81
Tomb Raider Chronicles	PS	1999	Action	Eidos Interactive	0.34	0.23	0	0.04	0.61
Barbie: Race & Ride	PS	1999	Action	Sony Computer Entertainment	0.33	0.22	0	0.04	0.59
Army Men: Sarges Heroes	PS	1999	Action	3DO	0.31	0.21	0	0.04	0.56
Resident Evil 2	N64	1999	Action	Virgin Interactive	0.39	0.09	0.07	0.01	0.56
Fighting Force 2	PS	1999	Action	Eidos Interactive	0.31	0.21	0	0.04	0.55
Gauntlet Legends	N64	1999	Action	Midway Games	0.43	0.1	0	0.01	0.54
Mission: Impossible	PS	1999	Action	Infogrames	0.29	0.2	0	0.03	0.52
Die Hard Trilogy 2: Viva Las Vegas	PS	1999	Action	Fox Interactive	0.27	0.18	0	0.03	0.49
Grudge Warriors	PS	1999	Action	Take-Two Interactive	0.23	0.16	0	0.03	0.41
Superman: The New Superman Adventures	N64	1999	Action	Titus	0.33	0.07	0	0	0.41
BattleTanx: Global Assault	N64	1999	Action	3DO	0.31	0.07	0	0	0.39
MediEvil II	PS	1999	Action	Sony Computer Entertainment	0.21	0.14	0	0.02	0.38
Mario Golf	G	1999	Action	Nintendo	0	0	0.31	0	0.31
Shadow Man	N64	1999	Action	Acclaim Entertainment	0.18	0.08	0	0.01	0.27
Paperboy	N64	1999	Action	Midway Games	0.19	0.05	0	0	0.24
Rampage 2: Universal Tour	N64	1999	Action	GT Interactive	0.18	0.04	0	0	0.22
Jackie Chan: Stuntmaster	PS	1999	Action	Sony Computer Entertainment	0.12	0.08	0	0.01	0.22
WCW Backstage Assault	PS	1999	Action	Electronic Arts	0.12	0.08	0	0.01	0.21
Shadow Madness	PS	1999	Action	Crave Entertainment	0.1	0.07	0	0.01	0.18
WCW Backstage Assault	N64	1999	Action	Electronic Arts	0.11	0.03	0	0	0.14
Fighting Force 64	N64	1999	Action	Crave Entertainment	0.09	0.02	0	0	0.11
Urban Chaos	PS	1999	Action	Eidos Interactive	0.06	0.04	0	0.01	0.1
Incredible Crisis	PS	1999	Action	Titus	0.04	0.03	0	0.01	0.08
G-Police: Weapons of Justice	PS	1999	Action	Psygnosis	0.03	0.02	0	0	0.06
Dungeon Keeper 2	PC	1999	Action	Electronic Arts	0	0.05	0	0.01	0.05
Expendable	PS	1999	Action	Infogrames	0.03	0.02	0	0	0.05
Dead in the Water	PS	1999	Action	ASC Games	0.03	0.02	0	0	0.05
Charlie Blasts Territory	N64	1999	Action	Kemco	0.02	0.01	0	0	0.03
Silent Bomber	PS	1999	Action	Virgin Interactive	0.01	0.01	0	0	0.02
Legoland	PC	1999	Action	LEGO Media	0	0.01	0	0	0.02
Carmageddon 64	N64	1999	Action	Virgin Interactive	0.01	0	0	0	0.01
Star Wars Episode I: The Phantom Menace	PS	1999	Adventure	LucasArts	0.72	0.89	0.04	0.1	1.74
Rugrats Studio Tour	PS	1999	Adventure	THQ	0.57	0.67	0	0.07	1.31
Metal Gear Solid VR Missions	PS	1999	Adventure	Konami Digital Entertainment	0.66	0.45	0	0.08	1.18
Shenmue	DC	1999	Adventure	Sega	0.52	0.24	0.38	0.04	1.18
The Grinch	PS	1999	Adventure	Konami Digital Entertainment	0.29	0.2	0	0.03	0.52
The X Files	PS	1999	Adventure	Sony Computer Entertainment	0.24	0.16	0	0.03	0.42
Sound Novel Evolution 1: Otogirisou Sosei-Hen	PS	1999	Adventure	ChunSoft	0	0	0.16	0.01	0.17
Bomberman 64: The Second Attack!	N64	1999	Adventure	Hudson Soft	0.05	0.01	0.11	0	0.17
Galerians	PS	1999	Adventure	Crave Entertainment	0.08	0.06	0	0.01	0.15
Detective Barbie: The Mystery Cruise	PS	1999	Adventure	Mattel Interactive	0.08	0.05	0	0.01	0.14
To Heart	PS	1999	Adventure	Aqua Plus	0	0	0.13	0.01	0.14
Metal Gear Solid Integral	PS	1999	Adventure	Konami Digital Entertainment	0	0	0.1	0.01	0.11
Blue Stinger	DC	1999	Adventure	Activision	0	0	0.1	0	0.1
Shadowgate 64: Trials of the Four Towers	N64	1999	Adventure	Kemco	0.06	0.01	0	0	0.07
Neon Genesis Evangelion	N64	1999	Adventure	Namco Bandai Games	0	0	0.06	0	0.06
The Misadventures of Tron Bonne	PS	1999	Adventure	Eidos Interactive	0.03	0.02	0	0	0.05
Countdown Vampires	PS	1999	Adventure	Namco Bandai Games	0.02	0.01	0	0	0.04
Dancing Blade II: Tears of Eden	PS	1999	Adventure	Konami Digital Entertainment	0	0	0.03	0	0.03
The Longest Journey	PC	1999	Adventure	Empire Interactive	0	0.01	0	0	0.02
Super Smash Bros.	N64	1999	Fighting	Nintendo	2.95	0.6	1.97	0.04	5.55
WWF WrestleMania 2000	N64	1999	Fighting	THQ	1.2	0.25	0.02	0.02	1.48
Knockout Kings 2000	PS	1999	Fighting	Electronic Arts	1.02	0.34	0	0.05	1.41
Knockout Kings 2000	N64	1999	Fighting	Electronic Arts	0.63	0.27	0	0.02	0.92
WCW Mayhem	N64	1999	Fighting	Electronic Arts	0.63	0.15	0	0.01	0.79
Marvel vs. Capcom: Clash of Super Heroes	PS	1999	Fighting	Capcom	0.43	0.3	0	0.05	0.78
WWF Attitude	N64	1999	Fighting	Acclaim Entertainment	0.57	0.13	0	0.01	0.71
ECW Hardcore Revolution	PS	1999	Fighting	Acclaim Entertainment	0.27	0.18	0	0.03	0.48
Bloody Roar II	PS	1999	Fighting	Virgin Interactive	0.25	0.17	0	0.03	0.46
SoulCalibur	DC	1999	Fighting	Namco Bandai Games	0	0	0.34	0	0.34
Xena: Warrior Princess - The Talisman of Fate	N64	1999	Fighting	Titus	0.23	0.06	0	0	0.29
Fire ProWrestling G	PS	1999	Fighting	Human Entertainment	0	0	0.18	0.01	0.19
Zen-Nippon Pro Wrestling: Ouja no Kon	PS	1999	Fighting	Human Entertainment	0	0	0.12	0.01	0.12
BoomBots	PS	1999	Fighting	SouthPeak Games	0.06	0.04	0	0.01	0.11
ECW Anarchy Rulz	PS	1999	Fighting	Acclaim Entertainment	0.06	0.04	0	0.01	0.11
The King of Fighters: Dream Match 1999	DC	1999	Fighting	SNK	0	0	0.1	0	0.1
Gekido	PS	1999	Fighting	Infogrames	0.06	0.04	0	0.01	0.1
Marvel vs. Capcom: Clash of Super Heroes	DC	1999	Fighting	Capcom	0	0	0.1	0	0.1
The King of Fighters 98: Dream Match Never Ends	PS	1999	Fighting	SNK Playmore	0.05	0.03	0	0.01	0.08
Fatal Fury: Wild Ambition	PS	1999	Fighting	SNK Playmore	0.03	0.02	0	0	0.05
